Pedal state in 4 braille cells: D-C ‖ B-sep ‖ E-F ‖ G-A
In each cell: top row=flat, middle=natural, bottom=sharp

--- F1 major modes ---
  Ionian0     on C    ⠒⠺⠒⠒
  Dorian0     on C    ⠒⠹⠑⠒
  Phrygian0   on C    ⠑⠹⠑⠊
  Lydian0     on C    ⠒⠺⠢⠒
  Mixolydian0 on C    ⠒⠹⠒⠒
  Aeolian0    on C    ⠒⠹⠑⠊
  Locrian0    on C    ⠑⠹⠑⠉

--- F2 melodic minor modes ---
  Ionian1     on C    ⠒⠺⠑⠒
  Dorian7     on C    ⠑⠹⠑⠒
  Phrygian6   on C    ⠒⠺⠢⠔
  Lydian5     on C    ⠒⠹⠢⠒
  Mixolydian4 on C    ⠒⠹⠒⠊
  Aeolian3    on C    ⠒⠹⠑⠉
  Locrian2    on C    ⠑⠹⠉⠉

--- F3 harmonic minor modes ---
  Ionian5     on C    ⠒⠺⠑⠊
  Dorian4     on C    ⠑⠹⠑⠑
  Phrygian3   on C    ⠒⠺⠒⠔
  Lydian2     on C    ⠒⠹⠡⠒
  Mixolydian1 on C    ⠑⠹⠒⠊
  Aeolian7    on C    ⠔⠺⠢⠒
  Locrian6    on C♯   ⠢⠹⠒⠒

--- F4 harmonic major modes ---
  Ionian6     on C    ⠒⠺⠒⠊
  Dorian5     on C    ⠒⠹⠑⠑
  Phrygian4   on C    ⠑⠹⠉⠊
  Lydian3     on C    ⠒⠺⠡⠒
  Mixolydian2 on C    ⠑⠹⠒⠒
  Aeolian1    on C    ⠔⠺⠢⠔
  Locrian7    on C♯   ⠢⠹⠢⠒
